step,name,warning
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:62:5: SMACK warning: approximating llvm.lifetime.start.p0i8 (can lead to both false alarms and missed detections);
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:73:32: SMACK warning: overapproximating bitwise operation shl (can lead to false alarms); try adding all the flag(s) in: { --integer-encoding=bit-vector }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:73:32: SMACK warning: overapproximating bitwise operation shl (can lead to false alarms); try adding all the flag(s) in: { --integer-encoding=bit-vector }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:73:32: SMACK warning: overapproximating bitwise operation shl (can lead to false alarms); try adding all the flag(s) in: { --integer-encoding=bit-vector }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:127:45: SMACK warning: overapproximating floating-point operation fadd (can lead to false alarms); try adding all the flag(s) in: { --float }
04,smack_translate,src/zopfli/blocksplitter.c:95:3: SMACK warning: approximating llvm.lifetime.end.p0i8 (can lead to both false alarms and missed detections);
04,smack_translate,src/zopfli/blocksplitter.c:132:3: SMACK warning: overapproximating call to llvm.ctpop.i64 (can lead to false alarms); try adding any flag(s) in: { --integer-encoding=bit-vector --rewrite-bitwise-ops }
